fips,county,state,year,uninsured,life_expectancy,premature_death,median_income,hs_graduation,unemployment,primary_care_rate,poor_physical_days,poor_mental_days,vaccinated,exercise_access,preventable_hosp,mammogram_rate,air_pollution,housing_problems,adult_obesity,adult_smoking,physical_inactivity,diabetes,excessive_drinking,poor_health
01001,Autauga,Alabama,2018,13.8,74.800645825,9938.2633823,68857.0,83.0,,43.996950000000005,4.3003635569,5.832900762,36.0,54.491964969,4365.0,46.0,9.3,13.520933425,,,,,,
01001,Autauga,Alabama,2019,16.0,74.800645825,9938.2633823,68857.0,83.0,,43.996950000000005,4.3003635569,5.832900762,36.0,54.491964969,4365.0,46.0,9.3,13.520933425,,,,,,
01001,Autauga,Alabama,2020,15.7,74.800645825,9938.2633823,68857.0,83.0,,43.996950000000005,4.3003635569,5.832900762,36.0,54.491964969,4365.0,46.0,9.3,13.520933425,,,,,,
01001,Autauga,Alabama,2021,10.0,74.800645825,9938.2633823,68857.0,83.0,,43.996950000000005,4.3003635569,5.832900762,36.0,54.491964969,4365.0,46.0,9.3,13.520933425,,,,,,
01001,Autauga,Alabama,2022,9.0,74.800645825,9938.2633823,68857.0,83.0,,43.996950000000005,4.3003635569,5.832900762,36.0,54.491964969,4365.0,46.0,9.3,13.520933425,38.9,15.5,25.7,11.3,15.4,17.7
01001,Autauga,Alabama,2023,9.0,74.800645825,9938.2633823,68857.0,83.0,,43.996950000000005,4.3003635569,5.832900762,36.0,54.491964969,4365.0,46.0,9.3,13.520933425,38.9,15.5,25.7,11.3,15.4,17.7
01001,Autauga,Alabama,2024,9.0,74.800645825,9938.2633823,68857.0,83.0,,43.996950000000005,4.3003635569,5.832900762,36.0,54.491964969,4365.0,46.0,9.3,13.520933425,38.9,15.5,25.7,11.3,15.4,17.7
01003,Baldwin,Alabama,2018,12.9,76.580109234,8957.1126859,74248.0,86.733890215,,62.6844,3.8764361413,6.020777623,44.0,61.624390012,2888.0,45.0,7.8,11.96811561,,,,,,
01003,Baldwin,Alabama,2019,13.8,76.580109234,8957.1126859,74248.0,86.733890215,,62.6844,3.8764361413,6.020777623,44.0,61.624390012,2888.0,45.0,7.8,11.96811561,,,,,,
01003,Baldwin,Alabama,2020,14.1,76.580109234,8957.1126859,74248.0,86.733890215,,62.6844,3.8764361413,6.020777623,44.0,61.624390012,2888.0,45.0,7.8,11.96811561,,,,,,
01003,Baldwin,Alabama,2021,8.9,76.580109234,8957.1126859,74248.0,86.733890215,,62.6844,3.8764361413,6.020777623,44.0,61.624390012,2888.0,45.0,7.8,11.96811561,,,,,,
01003,Baldwin,Alabama,2022,6.4,76.580109234,8957.1126859,74248.0,86.733890215,,62.6844,3.8764361413,6.020777623,44.0,61.624390012,2888.0,45.0,7.8,11.96811561,36.8,14.7,23.8,13.1,15.7,18.5
01003,Baldwin,Alabama,2023,6.4,76.580109234,8957.1126859,74248.0,86.733890215,,62.6844,3.8764361413,6.020777623,44.0,61.624390012,2888.0,45.0,7.8,11.96811561,36.8,14.7,23.8,13.1,15.7,18.5
01003,Baldwin,Alabama,2024,6.4,76.580109234,8957.1126859,74248.0,86.733890215,,62.6844,3.8764361413,6.020777623,44.0,61.624390012,2888.0,45.0,7.8,11.96811561,36.8,14.7,23.8,13.1,15.7,18.5
01005,Barbour,Alabama,2018,21.1,72.708991709,12738.656137,45298.0,75.162790698,,40.05768,5.4310302942,6.3399860323,39.0,54.858660746,3560.0,47.0,8.8,13.806380638,,,,,,
01005,Barbour,Alabama,2019,23.9,72.708991709,12738.656137,45298.0,75.162790698,,40.05768,5.4310302942,6.3399860323,39.0,54.858660746,3560.0,47.0,8.8,13.806380638,,,,,,
01005,Barbour,Alabama,2020,23.4,72.708991709,12738.656137,45298.0,75.162790698,,40.05768,5.4310302942,6.3399860323,39.0,54.858660746,3560.0,47.0,8.8,13.806380638,,,,,,
01005,Barbour,Alabama,2021,17.2,72.708991709,12738.656137,45298.0,75.162790698,,40.05768,5.4310302942,6.3399860323,39.0,54.858660746,3560.0,47.0,8.8,13.806380638,,,,,,
01005,Barbour,Alabama,2022,11.3,72.708991709,12738.656137,45298.0,75.162790698,,40.05768,5.4310302942,6.3399860323,39.0,54.858660746,3560.0,47.0,8.8,13.806380638,43.3,20.9,34.9,18.9,12.2,30.2
01005,Barbour,Alabama,2023,11.3,72.708991709,12738.656137,45298.0,75.162790698,,40.05768,5.4310302942,6.3399860323,39.0,54.858660746,3560.0,47.0,8.8,13.806380638,43.3,20.9,34.9,18.9,12.2,30.2
01005,Barbour,Alabama,2024,11.3,72.708991709,12738.656137,45298.0,75.162790698,,40.05768,5.4310302942,6.3399860323,39.0,54.858660746,3560.0,47.0,8.8,13.806380638,43.3,20.9,34.9,18.9,12.2,30.2
01007,Bibb,Alabama,2018,16.9,72.977378514,11708.948038,56025.0,91.0,,66.73487999999999,5.0556189336,6.5659451695,31.0,43.390301888,5029.0,36.0,8.6,11.926605505,,,,,,
01007,Bibb,Alabama,2019,19.8,72.977378514,11708.948038,56025.0,91.0,,66.73487999999999,5.0556189336,6.5659451695,31.0,43.390301888,5029.0,36.0,8.6,11.926605505,,,,,,
01007,Bibb,Alabama,2020,19.2,72.977378514,11708.948038,56025.0,91.0,,66.73487999999999,5.0556189336,6.5659451695,31.0,43.390301888,5029.0,36.0,8.6,11.926605505,,,,,,
01007,Bibb,Alabama,2021,14.3,72.977378514,11708.948038,56025.0,91.0,,66.73487999999999,5.0556189336,6.5659451695,31.0,43.390301888,5029.0,36.0,8.6,11.926605505,,,,,,
01007,Bibb,Alabama,2022,12.2,72.977378514,11708.948038,56025.0,91.0,,66.73487999999999,5.0556189336,6.5659451695,31.0,43.390301888,5029.0,36.0,8.6,11.926605505,41.4,21.8,32.9,15.1,15.6,25.8
01007,Bibb,Alabama,2023,12.2,72.977378514,11708.948038,56025.0,91.0,,66.73487999999999,5.0556189336,6.5659451695,31.0,43.390301888,5029.0,36.0,8.6,11.926605505,41.4,21.8,32.9,15.1,15.6,25.8
